09.0  0.18788
09.1  0.16293
09.2  0.14019
09.3  0.11967
09.4  0.10139
09.5  0.085330
09.6  0.071405
09.7  0.059480
09.8  0.049376
09.9  0.040877
10.0  0.033746
10.1  0.027791
10.2  0.022832
10.3  0.018693
10.4  0.015230
10.5  0.012347
10.6  0.0099599
10.7  0.0079799
10.8  0.0063333
10.9  0.0049729
11.0  0.0038612
11.1  0.0029542
11.2  0.0022972
11.3  0.0017766
11.4  0.0013467
11.5  9.9618e-04
11.6  9.1156e-04
11.7  8.4057e-04
11.8  7.6637e-04
11.9  6.9173e-04
12.0  6.2563e-04
12  6.2563e-04
13  3.3528e-04
14  8.7293e-05
15  1.1453e-05
16  7.7125e-07
17  2.3344e-08
18  3.6745e-10
19  8.1340e-11
20  1.9522e-12
25  1.5102e-16
30  1.5836e-15
