09.0 0.19034
09.1 0.16031
09.2 0.13539
09.3 0.11452
09.4 0.096999
09.5 0.082229
09.6 0.069749
09.7 0.059188
09.8 0.050234
09.9 0.042621
10.0 0.036144
10.1 0.030629
10.2 0.025923
10.3 0.021893
10.4 0.01843
10.5 0.015455
10.6 0.012913
10.7 0.010751
10.8 0.0089129
10.9 0.0073465
11.0 0.0060174
11.1 0.0048982
11.2 0.0039652
11.3 0.0031917
11.4 0.0025515
11.5 0.0020249
11.6 0.001595
11.7 0.0012472
11.8 0.00096876
11.9 0.00074747
12.0 0.00057241
12 0.00057241
13 2.6188e-05
14 5.7927e-07
15 9.8074e-09
16 5.1351e-10
17 3.0167e-13
18 7.5732e-15
19 8.9721e-15
20 2.1477e-17
25 6.7706e-14
30 6.1401e-14
