09.0  0.18938
09.1  0.16434
09.2  0.14069
09.3  0.11851
09.4  0.098258
09.5  0.080379
09.6  0.065072
09.7  0.052293
09.8  0.041861
09.9  0.033476
10.0  0.026798
10.1  0.021530
10.2  0.017402
10.3  0.014146
10.4  0.011547
10.5  0.0094712
10.6  0.0078129
10.7  0.0064623
10.8  0.0053366
10.9  0.0043993
11.0  0.0036275
11.1  0.0029866
11.2  0.0024403
11.3  0.0019700
11.4  0.0015749
11.5  0.0012477
11.6  9.7700e-04
11.7  7.4667e-04
11.8  5.4998e-04
11.9  3.8625e-04
12.0  2.5153e-04
12  2.5153e-04
13 -1.9722e-04
14 -9.2937e-05
15 -1.5994e-05
16 -1.2439e-06
17 -4.4496e-08
18 -4.8624e-10
19 -1.9919e-10
20 -1.2119e-12
25 -3.0797e-16
30  1.4696e-15
