09.0  0.27152
09.1  0.23082
09.2  0.19627
09.3  0.16633
09.4  0.14053
09.5  0.11846
09.6  0.099732
09.7  0.083946
09.8  0.070702
09.9  0.059626
10.0  0.050363
10.1  0.042608
10.2  0.036106
10.3  0.030638
10.4  0.026013
10.5  0.022087
10.6  0.018754
10.7  0.015925
10.8  0.013508
10.9  0.011436
11.0  0.0096681
11.1  0.0081631
11.2  0.0068751
11.3  0.0057637
11.4  0.0048068
11.5  0.0039953
11.6  0.0033133
11.7  0.0027364
11.8  0.0022425
11.9  0.0018250
12.0  0.0014764
12  0.0014764
13  1.2478e-04
14  5.1559e-06
15  8.6920e-08
16  4.5200e-09
17  7.4984e-11
18  1.6286e-14
19  5.3039e-15
20  4.5182e-14
25  1.8852e-14
30  8.1737e-14
