09.0  0.26535
09.1  0.22661
09.2  0.19271
09.3  0.16336
09.4  0.13821
09.5  0.11683
09.6  0.098772
09.7  0.083591
09.8  0.070853
09.9  0.060169
10.0  0.051199
10.1  0.043655
10.2  0.037283
10.3  0.031874
10.4  0.027270
10.5  0.023339
10.6  0.019969
10.7  0.017070
10.8  0.014596
10.9  0.012460
11.0  0.010613
11.1  0.0090176
11.2  0.0076369
11.3  0.0064388
11.4  0.0054010
11.5  0.0045074
11.6  0.0037434
11.7  0.0030929
11.8  0.0025380
11.9  0.0020684
12.0  0.0016749
12  0.0016749
13  1.3785e-04
14  5.6935e-06
15  1.0490e-07
16  5.2251e-09
17  1.0170e-10
18  6.4991e-14
19  8.0323e-15
20  1.0066e-14
25  1.4817e-16
30  9.5855e-17
