09.0  0.13190
09.1  0.11313
09.2  0.095896
09.3  0.080393
09.4  0.066789
09.5  0.055100
09.6  0.045239
09.7  0.037043
09.8  0.030325
09.9  0.024870
10.0  0.020452
10.1  0.016885
10.2  0.014007
10.3  0.011668
10.4  0.0097452
10.5  0.0081567
10.6  0.0068415
10.7  0.0057389
10.8  0.0048024
10.9  0.0040073
11.0  0.0033356
11.1  0.0027660
11.2  0.0022765
11.3  0.0018550
11.4  0.0014977
11.5  0.0011974
11.6  9.4582e-04
11.7  7.3291e-04
11.8  5.5331e-04
11.9  4.0441e-04
12.0  2.9684e-04
12  2.9684e-04
13  1.6329e-04
14  4.7817e-05
15  7.1501e-06
16  5.6381e-07
17  1.9831e-08
18  2.4543e-10
19  8.3044e-11
20  9.1698e-13
25  1.9609e-16
30  1.8625e-15
